date,發行量加權股價報酬指數,sharpe,sharpe_MA_20,sharpe_MA_60
2003-01-02,4524.92,,,
2003-01-03,4626.36,,,
2003-01-06,4690.26,,,
2003-01-07,4701.48,,,
2003-01-08,4837.35,,,
2003-01-09,4814.24,,,
2003-01-10,4851.31,,,
2003-01-13,4991.79,,,
2003-01-14,4992.95,,,
2003-01-15,5018.23,,,
2003-01-16,4943.81,,,
2003-01-17,4908.3,,,
2003-01-20,4951.56,,,
2003-01-21,4946.39,,,
2003-01-22,4993.8,,,
2003-01-23,5079.34,,,
2003-01-24,5057.86,,,
2003-01-27,4973.12,,,
2003-01-28,5015.69,,,
2003-02-06,4834.09,,,
2003-02-07,4735.87,,,
2003-02-10,4644.36,,,
2003-02-11,4619.47,,,
2003-02-12,4625.36,,,
2003-02-13,4508.43,,,
2003-02-14,4494.46,,,
2003-02-17,4705.58,,,
2003-02-18,4605.8,,,
2003-02-19,4551.32,,,
2003-02-20,4551.19,,,
2003-02-21,4548.83,,,
2003-02-24,4609.69,,,
2003-02-25,4454.82,,,
2003-02-26,4457.16,,,
2003-02-27,4432.93,,,
2003-03-03,4527.17,,,
2003-03-04,4500.17,,,
2003-03-05,4418.58,,,
2003-03-06,4397.91,,,
2003-03-07,4351.05,,,
2003-03-10,4320.45,,,
2003-03-11,4260.9,,,
2003-03-12,4328.61,,,
2003-03-13,4379.45,,,
2003-03-14,4476.64,,,
2003-03-17,4358.45,,,
2003-03-18,4540.2,,,
2003-03-19,4515.55,,,
2003-03-20,4599.74,,,
2003-03-21,4587.41,,,
2003-03-24,4571.16,,,
2003-03-25,4499.3,,,
2003-03-26,4496.53,,,
2003-03-27,4514.72,,,
2003-03-28,4477.49,,,
2003-03-31,4321.68,,,
2003-04-01,4338.07,,,
2003-04-02,4312.02,,,
2003-04-03,4358.86,,,
2003-04-04,4499.65,,,
2003-04-07,4576.31,,,
2003-04-08,4552.93,,,
2003-04-09,4537.87,,,
2003-04-10,4541.84,,,
2003-04-11,4530.88,,,
2003-04-14,4460.29,,,
2003-04-15,4488.07,,,
2003-04-16,4609.81,,,
2003-04-17,4567.58,,,
2003-04-18,4659.24,,,
2003-04-21,4649.06,,,
2003-04-22,4557.02,,,
2003-04-23,4565.86,,,
2003-04-24,4375.83,,,
2003-04-25,4234.4,,,
2003-04-28,4140.34,,,
2003-04-29,4201.17,,,
2003-04-30,4148.91,,,
2003-05-02,4188.67,,,
2003-05-05,4202.99,,,
2003-05-06,4221.72,,,
2003-05-07,4277.2,,,
2003-05-08,4192.52,,,
2003-05-09,4245.46,,,
2003-05-12,4262.3,,,
2003-05-13,4335.9,,,
2003-05-14,4342.41,,,
2003-05-15,4332.54,,,
2003-05-16,4285.06,,,
2003-05-19,4257.08,,,
2003-05-20,4253.66,,,
2003-05-21,4218.7,,,
2003-05-22,4273.53,,,
2003-05-23,4351.79,,,
2003-05-26,4467.9,,,
2003-05-27,4453.43,,,
2003-05-28,4476.75,,,
2003-05-29,4545.61,,,
2003-05-30,4558.47,,,
2003-06-02,4696.37,,,
2003-06-03,4681.5,,,
2003-06-05,4741.81,,,
2003-06-06,4744.03,,,
2003-06-09,4830.86,,,
2003-06-10,4836.72,,,
2003-06-11,4809.13,,,
2003-06-12,4885.75,,,
2003-06-13,4889.4,,,
2003-06-16,4899.87,,,
2003-06-17,4980.94,,,
2003-06-18,5006.85,,,
